,mt,n_cells_by_counts,mean_counts,pct_dropout_by_counts,total_counts,n_cells,highly_variable,means,dispersions,dispersions_norm
Stfa2l1,False,1139,1.119815668202765,81.25411454904543,6804,1139,True,1.0368002084728472,3.278769736698444,3.628757
Gm5483,False,1254,1.814680710994075,79.3614219881501,11026,1254,True,1.359975571384152,4.25948927083907,3.9274313
Gm5416,False,50,0.012014483212639895,99.17709019091507,73,50,True,0.021360700045138306,1.4486054640332482,3.4729595
2010005H15Rik,False,83,0.030941408821593155,98.63396971691903,188,83,True,0.0490170857958006,2.9341802825441263,8.690421
Stfa1,False,247,0.29641211323238975,95.93482554312047,1801,247,True,0.314850183736134,3.7124705737447736,8.958122
BC100530,False,219,0.3245556287030941,96.39565503620803,1972,219,True,0.3375126671393962,4.073113132539183,10.005757
Stfa2,False,146,0.14269256089532587,97.59710335747202,867,146,True,0.16027472794667888,3.336623911260184,10.103837
Stfa3,False,142,0.1076366030283081,97.66293614219882,654,142,True,0.10331207417269479,2.7652254649258134,8.097038
Cd86,False,759,0.1619486504279131,87.50822909809085,984,759,True,0.1662671105965276,0.627557678640554,0.5893717
Slc15a2,False,145,0.025181040157998682,97.61356155365371,153,145,True,0.03584669367078338,0.6137747944796618,0.540965
Eaf2,False,110,0.059907834101382486,98.18959842001317,364,110,True,0.052549400172762634,1.921757666642937,5.1347094
D930030I03Rik,False,73,0.012343647136273865,98.79855167873602,75,73,True,0.01838510910896314,0.6821670053244929,0.7811641
Cd80,False,165,0.029624753127057275,97.28439763001975,180,165,True,0.036373116092642675,0.6094776411294504,0.52587306
Zbtb20,False,1206,0.3020078999341672,80.15141540487163,1835,1206,True,0.32379975183455023,1.0127146311106074,1.1155604
Ccdc80,False,82,0.015635286372613563,98.65042791310073,95,82,True,0.02202466134825001,0.8353961955382918,1.3193177
Slc35a5,False,963,0.19256089532587228,84.15075707702435,1170,963,True,0.22530388673293475,0.6756094959380121,0.7581336
Btla,False,713,0.1477946017116524,88.26530612244898,898,713,True,0.1787787753298755,0.8128513993451033,1.2401385
Cd200,False,267,0.06221198156682028,95.6056616194865,378,267,True,0.07667016355784256,0.9306028580381489,1.6536914
Dubr,False,378,0.06797235023041474,93.77880184331798,413,378,True,0.08746992549071744,0.6461780265770714,0.6547679
Alcam,False,600,0.12639894667544438,90.12508229098091,768,600,True,0.14568116547098883,0.7280462261618997,0.94229573
Nfkbiz,False,1002,0.20078999341672152,83.50888742593811,1220,1002,True,0.23449116016975596,0.637716455288085,0.6250501
Samsn1,False,2743,1.042955892034233,54.855167873601054,6337,2743,True,0.8464383086259826,1.3149929301458454,1.0847232
App,False,1633,0.5580974325213957,73.12376563528638,3391,1633,True,0.45025438703865417,0.8617448087520571,0.67700595
Ttc3,False,980,0.20046082949308755,83.87096774193549,1218,980,True,0.22159508248449425,0.6032084481514457,0.50385517
Ets2,False,889,0.18515470704410797,85.36866359447004,1125,889,True,0.24287525889514563,0.8731830483102972,1.4520283
Brwd1,False,858,0.16375905200789995,85.8788676761027,995,858,True,0.19154082047402388,0.6155189280362043,0.5470906
Sh3bgr,False,91,0.023535220539828833,98.50230414746544,143,91,True,0.02520230857099849,0.8705148905390767,1.4426575
Itgb2l,False,263,0.10286372613561554,95.67149440421329,625,263,True,0.08016349736847997,0.9496058330583735,1.7204314
Mx1,False,444,0.09282422646477946,92.69256089532587,564,444,True,0.09677628236874333,0.6833424304686783,0.7852923
Tagap,False,840,0.1889400921658986,86.17511520737327,1148,840,True,0.20585432260438472,0.9551326659189555,1.7398422
Gm1604a,False,145,0.03308097432521396,97.61356155365371,201,145,True,0.03693439304508157,0.7466700404140274,1.0077041
Ccr6,False,110,0.02682685977616853,98.18959842001317,163,110,True,0.039051892212221,1.0808006604072116,2.1811986
Agpat4,False,774,0.17906517445687953,87.26135615536536,1088,774,True,0.17710353351173755,0.6632438308144334,0.7147044
Fpr1,False,1506,0.49144173798551677,75.21395655036208,2986,1506,True,0.5557370573913069,1.4545076494724658,2.3989315
Fpr2,False,1871,0.7430875576036866,69.20671494404213,4515,1871,True,0.7160973999728079,1.5159569729008817,1.4974504
Prss30,False,96,0.020078999341672153,98.42001316655694,122,96,True,0.021872876197994048,0.6710242772362276,0.74202996
Rpl3l,False,496,0.1109282422646478,91.83673469387756,674,496,True,0.14822002147930313,1.0324809408697657,2.0114956
Msrb1,False,5001,9.07422646477946,17.69256089532587,55135,5001,True,2.636867632033841,3.2808274806958853,0.9562977
Ift140,False,231,0.04065174456879526,96.19815668202764,247,231,True,0.054155966258120726,0.6592002821468352,0.7005031
Dusp1,False,3219,1.946346280447663,47.02106649111257,11826,3219,True,1.4176742376751352,2.3128694107259404,1.4230003
Ergic1,False,457,0.10006583278472679,92.47860434496378,608,457,True,0.09780263221201926,0.6761473114586877,0.76002246
Ggnbp1,False,106,0.01826859776168532,98.25543120473996,111,106,True,0.023387374627268764,0.603824535493848,0.5060189
Pacsin1,False,623,0.1328176431863068,89.74654377880185,807,623,True,0.14991742902636102,0.6738611839477673,0.7519934
E230001N04Rik,False,733,0.13495720868992758,87.936142198815,820,733,True,0.17885095989907188,0.6698541094710214,0.7379202
Mapk13,False,1008,0.2843976300197498,83.41013824884793,1728,1008,True,0.31106965253075697,1.0328181069591893,1.1739594
Cdkn1a,False,449,0.1772547728768927,92.61026991441737,1077,449,True,0.1379655367127187,1.33774644370565,3.0836134
Rab44,False,308,0.05612244897959184,94.93087557603687,341,308,True,0.07719592083828292,0.669996073711575,0.7384188
Pi16,False,1463,0.42346938775510207,75.92165898617512,2573,1463,True,0.4770768297757442,1.256133102188511,1.8226703
Fgd2,False,813,0.22646477946017116,86.61948650427914,1376,813,True,0.18208363738572733,0.7089455852767592,0.8752127
Pim1,False,2124,0.6359447004608295,65.04279131007242,3864,2124,True,0.5811556708591286,1.1851332302241135,1.6164218
Rnf8,False,661,0.1239302172481896,89.1211323238973,753,661,True,0.14421637504426071,0.6438132287326699,0.6464625
Zfand3,False,1362,0.2697498354180382,77.58393680052666,1639,1362,True,0.30409278226240044,0.6073899990452966,0.5185411
